"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen"
"Q2535415","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q2607698","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q2607707","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q2617593","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q2632148","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q2635589","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-27 12:31:44","2022-08-04 06:18:07"
"Q26647","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q26769","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q26776","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q2682307","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q2745459","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q295043","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q297318","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q298063","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q298532","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q3039203","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q3099675","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q314295","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-01-15 08:55:59","2022-08-04 06:18:07"
"Q315514","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q316553","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q3317424","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q331773","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q335688","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q3499843","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q352249","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q361189","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q36597284","Organization","Organization","","","","","","","","","Wikidata Entities of Interest","2021-12-20 14:15:53","2022-08-04 06:18:07"
"Q373375","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q3822621","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q4054802","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-31 03:03:35","2022-08-04 06:18:07"
"Q4225547","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q4359688","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q438839","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-04-03 12:32:01","2022-08-04 06:18:07"
"Q4396930","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q4398632","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-27 12:31:44","2022-08-04 06:18:07"
"Q4398633","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-27 12:31:44","2022-08-04 06:18:07"
"Q4459474","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q456034","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q4582064","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-01-15 08:55:59","2022-08-04 06:18:07"
"Q4589287","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q461631","Organization","Organization","","","","","","","","","Wikidata Entities of Interest","2021-12-20 14:15:53","2022-08-04 06:18:07"
"Q463856","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q47139","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-01-15 08:55:59","2022-08-04 06:18:07"
"Q4716038","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q471862","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-01-03 03:03:37","2022-08-04 06:18:07"
"Q4923870","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q503147","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q516824","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q525666","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q5304881","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q5317771","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q5317778","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q567","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q5688282","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q57675","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-31 03:03:35","2022-08-04 06:18:07"
"Q58217","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-03-10 18:19:37","2022-08-04 06:18:07"
"Q600138","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q6078670","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q6471243","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-01-15 08:55:59","2022-08-04 06:18:07"
"Q666662","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-01-15 08:55:59","2022-08-04 06:18:07"
"Q6850548","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q6850594","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-05-27 12:28:50","2022-08-04 06:18:07"
"Q6880769","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q6884973","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q6897313","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q715920","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q7239704","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q732142","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q7453960","Person","Person","","","","","","","","","Wikidata Entities of Interest","2022-02-28 01:13:29","2022-08-04 06:18:07"
"Q749887","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-20 14:15:53","2022-08-04 06:18:07"
"Q7585614","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q7747","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q7932609","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q7938421","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q8074417","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q8074427","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q818077","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-16 16:41:18","2022-08-04 06:18:07"
"Q853546","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q93167","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q932683","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q983894","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
"Q984195","Person","Person","","","","","","","","","Wikidata Entities of Interest","2021-12-21 03:03:25","2022-08-04 06:18:07"
